#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:34:23      0  11973     21    100      4      0      0 
 20230920   21:34:28      0  12035     21    100      4      0      0 
 20230920   21:34:33      0  12105     21    100      4      0      0 
 20230920   21:34:38      0  11991     21     66      4      0      0 
 20230920   21:34:43      0  12205     21     77      4      0      0 
 20230920   21:34:48      0  12325     21    100      4      0      0 
 20230920   21:34:53      0  12411     21    100      5      0      0 
 20230920   21:34:58      0  12423     21    100      5      0      0 
 20230920   21:35:03      0  12455     21     99      5      0      0 
 20230920   21:35:08      0  12445     21     83      6      0      0 
 20230920   21:35:13      0  12277     21     81      6      0      0 
 20230920   21:35:18      0  12503     21     81      6      0      0 
 20230920   21:35:23      0  12483     21     98      5      0      0 
 20230920   21:35:28      0  12673     21     96      5      0      0 
 20230920   21:35:33      0  12683     21     88      6      0      0 
 20230920   21:35:38      0  12399     21     99      5      0      0 
 20230920   21:35:43      0  12561     21    100      6      0      0 
 20230920   21:35:48      0  12563     21    100      5      0      0 
 20230920   21:35:53      0  12731     21     84      6      0      0 
 20230920   21:35:58      0  12729     21     83      6      0      0 
 20230920   21:36:03      0  12737     21    100      6      0      0 
 20230920   21:36:08      0  12759     21     98      5      0      0 
 20230920   21:36:13      0  12809     21    100      5      0      0 
 20230920   21:36:18      0  12843     21    100      5      0      0 
 20230920   21:36:23      0  12859     21    100      5      0      0 
 20230920   21:36:29      0  12777     21    100      6      0      0 
 20230920   21:36:34      0  12939     21     88      6      0      0 
 20230920   21:36:39      0  12833     21     87      6      0      0 
 20230920   21:36:44      0  12995     21     86      6      0      0 
 20230920   21:36:49      0  13047     21    100      7      0      0 
 20230920   21:36:54      0  13055     21     85      6      0      0 
 20230920   21:36:59      0  13031     21    100      5      0      0 
 20230920   21:37:04      0  13041     21    100      6      0      0 
 20230920   21:37:09      0  13043     21    100      5      0      0 
 20230920   21:37:14      0  13061     21    100      5      0      0 
 20230920   21:37:19      0  13073     21     99      5      0      0 
 20230920   21:37:24      0  13083     21     90      6      0      0 
 20230920   21:37:29      0  13069     21     74      5      0      0 
 20230920   21:37:34      0  13101     21    100      8      0      0 
 20230920   21:37:39      0  13069     21     81      5      0      0 
 20230920   21:37:44      0  13081     21     74      5      0      0 
 20230920   21:37:49      0  13085     21    100      5      0      0 
 20230920   21:37:54      0  13115     21    100      4      0      0 
 20230920   21:37:59      0  13217     21     85      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:38:04      0  13323     21    100      5      0      0 
 20230920   21:38:09      0  13365     21     81      5      0      0 
 20230920   21:38:14      0  13399     21     89      6      0      0 
 20230920   21:38:19      0  13427     21     84      5      0      0 
 20230920   21:38:24      0  13431     21     89      6      0      0 
 20230920   21:38:29      0  13429     21     97      5      0      0 
 20230920   21:38:34      0  13185     21    100      5      0      0 
 20230920   21:38:39      0  13499     21     90      6      0      0 
 20230920   21:38:44      0  13567     21     85      6      0      0 
 20230920   21:38:49      0  13603     21    100      5      0      0 
 20230920   21:38:54      0  13577     21     88      6      0      0 
 20230920   21:38:59      0  13513     21     98      5      0      0 
 20230920   21:39:04      0  13669     21     86      6      0      0 
 20230920   21:39:09      0  13757     21    100      6      0      0 
 20230920   21:39:14      0  13773     21     82      6      0      0 
 20230920   21:39:19      0  13795     21    100      8      0      0 
 20230920   21:39:24      0  13781     21    100      5      0      0 
 20230920   21:39:29      0  13783     21    100      5      0      0 
 20230920   21:39:34      0  13733     21     94      6      0      0 
 20230920   21:39:39      0  13779     21    100      5      0      0 
 20230920   21:39:44      0  13363     21     81      6      0      0 
 20230920   21:39:49      0  13797     21     79      6      0      0 
 20230920   21:39:54      0  13803     21    100      5      0      0 
 20230920   21:39:59      0  13659     21     87      6      0      0 
 20230920   21:40:04      0  13915     21     83      6      0      0 
 20230920   21:40:09      0  13453     21     99      6      0      0 
 20230920   21:40:14      0  13487     21    100      6      0      0 
 20230920   21:40:19      0  13997     21    100      5      0      0 
 20230920   21:40:24      0  14037     21     76      5      0      0 
 20230920   21:40:29      0  14063     21    100      5      0      0 
 20230920   21:40:34      0  14055     21    100      6      0      0 
 20230920   21:40:39      0  14071     21     97      4      0      0 
 20230920   21:40:44      0  14021     21     78      6      0      0 
 20230920   21:40:49      0  14027     21    100      5      0      0 
 20230920   21:40:54      0  14035     21     98      6      0      0 
 20230920   21:40:59      0  14031     21    100      5      0      0 
 20230920   21:41:04      0  13855     21    100      7      0      0 
 20230920   21:41:09      0  13889     21    100      8      0      0 
 20230920   21:41:14      0  14099     21    100      6      0      0 
 20230920   21:41:19      0  13889     21     93      7      0      0 
 20230920   21:41:24      0  14129     21     92      7      0      0 
 20230920   21:41:29      0  14131     21     89      6      0      0 
 20230920   21:41:34      0  14111     21     91      7      0      0 
 20230920   21:41:39      0  13929     21     99      8      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:41:44      0  14117     21     92      7      0      0 
 20230920   21:41:49      0  14121     21     90      7      0      0 
 20230920   21:41:54      0  14173     21     93      7      0      0 
 20230920   21:41:59      0  14159     21    100      6      0      0 
 20230920   21:42:04      0  13895     21    100      6      0      0 
 20230920   21:42:09      0  13977     21    100      6      0      0 
 20230920   21:42:14      0  13979     21    100      6      0      0 
 20230920   21:42:19      0  14199     21     99      6      0      0 
 20230920   21:42:24      0  14183     21    100      5      0      0 
 20230920   21:42:29      0  14185     21    100      5      0      0 
 20230920   21:42:34      0  14183     21    100      5      0      0 
 20230920   21:42:39      0  13761     21     90      6      0      0 
 20230920   21:42:44      0  14271     21    100      6      0      0 
 20230920   21:42:49      0  14241     21    100      6      0      0 
 20230920   21:42:54      0  14275     21    100      5      0      0 
 20230920   21:42:59      0  14343     21    100      5      0      0 
 20230920   21:43:04      0  14383     21     80      6      0      0 
 20230920   21:43:09      0  14379     21    100      5      0      0 
 20230920   21:43:14      0  14495     21    100      6      0      0 
 20230920   21:43:19      0  14387     21    100      6      0      0 
 20230920   21:43:24      0  14631     21    100      8      0      0 
 20230920   21:43:29      0  14633     21     90      7      0      0 
 20230920   21:43:34      0  14673     21     93      7      0      0 
 20230920   21:43:39      0  14703     21    100      6      0      0 
 20230920   21:43:44      0  14757     21    100      8      0      0 
 20230920   21:43:49      0  14535     21    100      6      0      0 
 20230920   21:43:54      0  14741     21     98      5      0      0 
 20230920   21:43:59      0  14751     21    100      7      0      0 
 20230920   21:44:04      0  14547     21    100      5      0      0 
 20230920   21:44:09      0  14749     21    100      4      0      0 
 20230920   21:44:14      0  14753     21     94      6      0      0 
 20230920   21:44:19      0  14751     21    100      5      0      0 
 20230920   21:44:24      0  14429     21    100      5      0      0 
 20230920   21:44:29      0  14547     21    100      5      0      0 
 20230920   21:44:34      0  14753     21    100      5      0      0 
 20230920   21:44:39      0  14569     21     99      5      0      0 
 20230920   21:44:44      0  14369     21     99      7      0      0 
 20230920   21:44:49      0  14737     21    100      5      0      0 
 20230920   21:44:54      0  14767     21    100      6      0      0 
 20230920   21:44:59      0  14749     21    100      5      0      0 
 20230920   21:45:04      0  14483     21    100      6      0      0 
 20230920   21:45:09      0  14753     21    100      7      0      0 
 20230920   21:45:14      0  14765     21     75      5      0      0 
 20230920   21:45:19      0  14759     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:45:24      0  14755     21    100      5      0      0 
 20230920   21:45:29      0  14745     21    100      5      0      0 
 20230920   21:45:35      0  14581     21    100      5      0      0 
 20230920   21:45:40      0  14769     21    100      5      0      0 
 20230920   21:45:45      0  14569     21    100      5      0      0 
 20230920   21:45:50      0  14799     21    100      4      0      0 
 20230920   21:45:55      0  14799     21     95      4      0      0 
 20230920   21:46:00      0  14807     21     99      5      0      0 
 20230920   21:46:05      0  14811     21     72      5      0      0 
 20230920   21:46:10      0  14751     21    100      6      0      0 
 20230920   21:46:15      0  14819     21     99      5      0      0 
 20230920   21:46:20      0  14819     21    100      5      0      0 
 20230920   21:46:25      0  14827     21    100      6      0      0 
 20230920   21:46:30      0  14815     21    100      5      0      0 
 20230920   21:46:35      0  14599     21    100      6      0      0 
 20230920   21:46:40      0  14815     21     99      5      0      0 
 20230920   21:46:45      0  14805     21    100      5      0      0 
 20230920   21:46:50      0  14807     21    100      7      0      0 
 20230920   21:46:55      0  14819     21     73      5      0      0 
 20230920   21:47:00      0  14803     21    100      5      0      0 
 20230920   21:47:05      0  14823     21    100      5      0      0 
 20230920   21:47:10      0  14795     21    100      5      0      0 
 20230920   21:47:15      0  14827     21    100      7      0      0 
 20230920   21:47:20      0  14809     21    100      6      0      0 
 20230920   21:47:25      0  14833     21    100      5      0      0 
 20230920   21:47:30      0  14331     21    100      5      0      0 
 20230920   21:47:35      0  14819     21    100      5      0      0 
 20230920   21:47:40      0  14871     21    100      5      0      0 
 20230920   21:47:45      0  14863     21     93      6      0      0 
 20230920   21:47:50      0  14481     21    100      5      0      0 
 20230920   21:47:55      0  14873     21     96      6      0      0 
 20230920   21:48:00      0  14893     21    100      4      0      0 
 20230920   21:48:05      0  14885     21    100      6      0      0 
 20230920   21:48:10      0  14881     21    100      6      0      0 
 20230920   21:48:15      0  14883     21     99      4      0      0 
 20230920   21:48:20      0  14685     21    100      4      0      0 
 20230920   21:48:25      0  14881     21    100      6      0      0 
 20230920   21:48:30      0  14899     21    100      4      0      0 
 20230920   21:48:35      0  14893     21    100      6      0      0 
 20230920   21:48:40      0  14889     21    100      5      0      0 
 20230920   21:48:45      0  14897     21     98      5      0      0 
 20230920   21:48:50      0  14885     21    100      5      0      0 
 20230920   21:48:55      0  14731     21     99      5      0      0 
 20230920   21:49:00      0  14929     21    100      4      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:49:05      0  14911     21    100      4      0      0 
 20230920   21:49:10      0  14927     21     99      6      0      0 
 20230920   21:49:15      0  14923     21    100      5      0      0 
 20230920   21:49:20      0  14949     21    100      5      0      0 
 20230920   21:49:25      0  14939     21    100      5      0      0 
 20230920   21:49:30      0  14935     21    100      5      0      0 
 20230920   21:49:35      0  14911     21    100      7      0      0 
 20230920   21:49:40      0  14971     21    100      5      0      0 
 20230920   21:49:45      0  14953     21    100      7      0      0 
 20230920   21:49:50      0  14951     21     97      5      0      0 
 20230920   21:49:55      0  14989     21    100      5      0      0 
 20230920   21:50:00      0  14975     21    100      5      0      0 
 20230920   21:50:05      0  14955     21    100      5      0      0 
 20230920   21:50:10      0  14977     21    100      5      0      0 
 20230920   21:50:15      0  15033     21    100      5      0      0 
 20230920   21:50:20      0  15083     21    100      5      0      0 
 20230920   21:50:25      0  15113     21    100      5      0      0 
 20230920   21:50:30      0  15089     21    100      5      0      0 
 20230920   21:50:35      0  15101     21    100      5      0      0 
 20230920   21:50:40      0  15075     21    100      5      0      0 
 20230920   21:50:45      0  15075     21    100      5      0      0 
 20230920   21:50:50      0  15099     21    100      5      0      0 
 20230920   21:50:55      0  14973     21    100      6      0      0 
 20230920   21:51:00      0  15129     21    100      5      0      0 
 20230920   21:51:05      0  14921     21    100      5      0      0 
 20230920   21:51:10      0  15187     21    100      5      0      0 
 20230920   21:51:15      0  14989     21    100      5      0      0 
 20230920   21:51:20      0  15225     21    100      6      0      0 
 20230920   21:51:25      0  15221     21    100      5      0      0 
 20230920   21:51:30      0  15079     21     86      6      0      0 
 20230920   21:51:35      0  15233     21    100      5      0      0 
 20230920   21:51:40      0  14771     21     96      5      0      0 
 20230920   21:51:45      0  15031     21    100      4      0      0 
 20230920   21:51:50      0  15009     21    100      4      0      0 
 20230920   21:51:55      0  15225     21    100      4      0      0 
 20230920   21:52:00      0  15249     21     95      5      0      0 
 20230920   21:52:05      0  15273     21    100      4      0      0 
 20230920   21:52:10      0  15055     21    100      4      0      0 
 20230920   21:52:15      0  15269     21    100      4      0      0 
 20230920   21:52:20      0  15281     21    100      4      0      0 
 20230920   21:52:25      0  15285     21    100      6      0      0 
 20230920   21:52:30      0  15285     21    100      4      0      0 
 20230920   21:52:35      0  15279     21    100      4      0      0 
 20230920   21:52:40      0  15275     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:52:45      0  15281     21    100      7      0      0 
 20230920   21:52:50      0  15281     21    100      6      0      0 
 20230920   21:52:55      0  15279     21    100      7      0      0 
 20230920   21:53:00      0  15285     21     73      5      0      0 
 20230920   21:53:05      0  15269     21    100      5      0      0 
 20230920   21:53:10      0  15149     21    100      5      0      0 
 20230920   21:53:15      0  14929     21    100      5      0      0 
 20230920   21:53:20      0  15269     21     99      6      0      0 
 20230920   21:53:25      0  15281     21    100      5      0      0 
 20230920   21:53:30      0  15077     21    100      7      0      0 
 20230920   21:53:36      0  15271     21    100      4      0      0 
 20230920   21:53:41      0  15167     21    100      5      0      0 
 20230920   21:53:46      0  15271     21    100      5      0      0 
 20230920   21:53:51      0  15349     21    100      5      0      0 
 20230920   21:53:56      0  15155     21    100      5      0      0 
 20230920   21:54:01      0  15141     21    100      6      0      0 
 20230920   21:54:06      0  15069     21    100      5      0      0 
 20230920   21:54:11      0  15355     21    100      7      0      0 
 20230920   21:54:16      0  15337     21    100      5      0      0 
 20230920   21:54:21      0  15349     21    100      4      0      0 
 20230920   21:54:26      0  15157     21    100      4      0      0 
 20230920   21:54:31      0  15355     21    100      4      0      0 
 20230920   21:54:36      0  15363     21    100      5      0      0 
 20230920   21:54:41      0  15365     21    100      7      0      0 
 20230920   21:54:46      0  15355     21    100      6      0      0 
 20230920   21:54:51      0  14849     21     96      5      0      0 
 20230920   21:54:56      0  15355     21     99      6      0      0 
 20230920   21:55:01      0  15141     21     82      5      0      0 
 20230920   21:55:06      0  15349     21     97      4      0      0 
 20230920   21:55:11      0  15351     21    100      5      0      0 
 20230920   21:55:16      0  15353     21    100      5      0      0 
 20230920   21:55:21      0  15353     21    100      5      0      0 
 20230920   21:55:26      0  14981     21    100      6      0      0 
 20230920   21:55:31      0  15359     21    100      5      0      0 
 20230920   21:55:36      0  15141     21    100      5      0      0 
 20230920   21:55:41      0  15355     21    100      5      0      0 
 20230920   21:55:46      0  15359     21    100      5      0      0 
 20230920   21:55:51      0  15361     21    100      5      0      0 
 20230920   21:55:56      0  15349     21    100      4      0      0 
 20230920   21:56:01      0  15369     21    100      5      0      0 
 20230920   21:56:06      0  15363     21     99      5      0      0 
 20230920   21:56:11      0  15359     21    100      5      0      0 
 20230920   21:56:16      0  15359     21    100      5      0      0 
 20230920   21:56:21      0  15369     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   21:56:26      0  15359     21     95      5      0      0 
 20230920   21:56:31      0  15361     21    100      5      0      0 
 20230920   21:56:36      0  15359     21    100      5      0      0 
 20230920   21:56:41      0  15141     21    100      5      0      0 
 20230920   21:56:46      0  15141     21    100      5      0      0 
 20230920   21:56:51      0  15365     21    100      5      0      0 
 20230920   21:56:56      0  15369     21    100      5      0      0 
 20230920   21:57:01      0  15223     21    100      5      0      0 
 20230920   21:57:06      0  15359     21    100      5      0      0 
 20230920   21:57:11      0  15355     21    100      5      0      0 
 20230920   21:57:16      0  15391     21    100      5      0      0 
 20230920   21:57:21      0  15179     21    100      6      0      0 
 20230920   21:57:26      0  15397     21    100      5      0      0 
 20230920   21:57:31      0  15191     21    100      5      0      0 
 20230920   21:57:36      0  15383     21    100      6      0      0 
 20230920   21:57:41      0  15393     21    100      7      0      0 
 20230920   21:57:46      0  15377     21    100      4      0      0 
 20230920   21:57:51      0  15391     21    100      6      0      0 
 20230920   21:57:56      0  15385     21     99      5      0      0 
 20230920   21:58:01      0  15393     21    100      5      0      0 
 20230920   21:58:06      0  15015     21    100      7      0      0 
 20230920   21:58:11      0  15381     21    100      5      0      0 
 20230920   21:58:16      0  15387     21    100      6      0      0 
 20230920   21:58:21      0  15391     21    100      5      0      0 
 20230920   21:58:26      0  15397     21    100      5      0      0 
 20230920   21:58:31      0  15401     21    100      5      0      0 
 20230920   21:58:36      0  15387     21    100      5      0      0 
 20230920   21:58:41      0  15397     21     97      5      0      0 
 20230920   21:58:46      0  15235     21     99      7      0      0 
 20230920   21:58:51      0  15385     21    100      5      0      0 
 20230920   21:58:56      0  15391     21    100      5      0      0 
 20230920   21:59:01      0  15397     21    100      6      0      0 
 20230920   21:59:06      0  15393     21    100      5      0      0 
 20230920   21:59:11      0  15369     21    100      5      0      0 
 20230920   21:59:16      0  15393     21    100      5      0      0 
 20230920   21:59:21      0  15131     21    100      5      0      0 
 20230920   21:59:26      0  15487     21    100      7      0      0 
 20230920   21:59:31      0  15519     21    100      5      0      0 
 20230920   21:59:36      0  15313     21    100      5      0      0 
 20230920   21:59:41      0  15515     21    100      5      0      0 
 20230920   21:59:46      0  15515     21    100      6      0      0 
 20230920   21:59:51      0  15523     21     99      7      0      0 
 20230920   21:59:56      0  15381     21     99      5      0      0 
 20230920   22:00:01      0  15509     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   22:00:06      0  15297     21    100      5      0      0 
 20230920   22:00:11      0  15161     21    100      5      0      0 
 20230920   22:00:16      0  15365     21    100      5      0      0 
 20230920   22:00:21      0  15527     21    100      5      0      0 
 20230920   22:00:26      0  15571     21    100      5      0      0 
 20230920   22:00:31      0  15637     21    100      5      0      0 
 20230920   22:00:36      0  15693     21    100      5      0      0 
 20230920   22:00:41      0  15507     21    100      6      0      0 
 20230920   22:00:46      0  15733     21    100      5      0      0 
 20230920   22:00:51      0  15461     21    100      5      0      0 
 20230920   22:00:56      0  15767     21    100      5      0      0 
 20230920   22:01:01      0  15767     21    100      4      0      0 
 20230920   22:01:06      0  15469     21    100      4      0      0 
 20230920   22:01:11      0  15751     21    100      4      0      0 
 20230920   22:01:16      0  15751     21    100      6      0      0 
 20230920   22:01:21      0  15753     21    100      4      0      0 
 20230920   22:01:26      0  15687     21    100      6      0      0 
 20230920   22:01:32      0  15767     21    100      4      0      0 
 20230920   22:01:37      0  15753     21    100      6      0      0 
 20230920   22:01:42      0  15761     21     99      5      0      0 
 20230920   22:01:47      0  15301     21    100      6      0      0 
 20230920   22:01:52      0  15757     21    100      5      0      0 
 20230920   22:01:57      0  15751     21    100      5      0      0 
 20230920   22:02:02      0  15767     21     96      4      0      0 
 20230920   22:02:07      0  15759     21    100      4      0      0 
 20230920   22:02:12      0  15759     21    100      4      0      0 
 20230920   22:02:17      0  15753     21    100      4      0      0 
 20230920   22:02:22      0  15605     21    100      4      0      0 
 20230920   22:02:27      0  15747     21    100      3      0      0 
 20230920   22:02:32      0  15747     21     99      3      0      0 
 20230920   22:02:37      0  15489     21    100      5      0      0 
 20230920   22:02:42      0  15743     21    100      5      0      0 
 20230920   22:02:47      0  15743     21    100      5      0      0 
 20230920   22:02:52      0  15539     21    100      5      0      0 
 20230920   22:02:57      0  15753     21    100      5      0      0 
 20230920   22:03:02      0  15757     21    100      5      0      0 
 20230920   22:03:07      0  15311     21    100      5      0      0 
 20230920   22:03:12      0  15761     21    100      6      0      0 
 20230920   22:03:17      0  15763     21    100      5      0      0 
 20230920   22:03:22      0  15747     21    100      6      0      0 
 20230920   22:03:27      0  15757     21    100      6      0      0 
 20230920   22:03:32      0  15409     21    100      6      0      0 
 20230920   22:03:37      0  15747     21    100      5      0      0 
 20230920   22:03:42      0  15761     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   22:03:47      0  15753     21     99      5      0      0 
 20230920   22:03:52      0  15757     21    100      5      0      0 
 20230920   22:03:57      0  15751     21    100      5      0      0 
 20230920   22:04:02      0  15539     21    100      5      0      0 
 20230920   22:04:07      0  15539     21    100      5      0      0 
 20230920   22:04:12      0  15767     21    100      5      0      0 
 20230920   22:04:17      0  15757     21    100      5      0      0 
 20230920   22:04:22      0  15759     21    100      6      0      0 
 20230920   22:04:27      0  15525     21    100      5      0      0 
 20230920   22:04:32      0  15685     21    100      4      0      0 
 20230920   22:04:37      0  15763     21    100      4      0      0 
 20230920   22:04:42      0  15753     21     86      4      0      0 
 20230920   22:04:47      0  15599     21    100      6      0      0 
 20230920   22:04:52      0  15763     21    100      4      0      0 
 20230920   22:04:57      0  15539     21     74      4      0      0 
 20230920   22:05:02      0  15555     21    100      5      0      0 
 20230920   22:05:07      0  15763     21    100      6      0      0 
 20230920   22:05:12      0  15597     21    100      5      0      0 
 20230920   22:05:17      0  15753     21    100      4      0      0 
 20230920   22:05:22      0  15753     21     97      4      0      0 
 20230920   22:05:27      0  15555     21    100      4      0      0 
 20230920   22:05:32      0  15335     21    100      6      0      0 
 20230920   22:05:37      0  15539     21    100      4      0      0 
 20230920   22:05:42      0  15769     21    100      4      0      0 
 20230920   22:05:47      0  15777     21    100      4      0      0 
 20230920   22:05:52      0  15759     21    100      5      0      0 
 20230920   22:05:57      0  15769     21    100      5      0      0 
 20230920   22:06:02      0  15773     21    100      5      0      0 
 20230920   22:06:07      0  15635     21    100      7      0      0 
 20230920   22:06:12      0  15769     21    100      5      0      0 
 20230920   22:06:17      0  15767     21     99      6      0      0 
 20230920   22:06:22      0  15561     21    100      5      0      0 
 20230920   22:06:27      0  15763     21    100      5      0      0 
 20230920   22:06:32      0  15757     21    100      5      0      0 
 20230920   22:06:37      0  15773     21    100      5      0      0 
 20230920   22:06:42      0  15767     21    100      5      0      0 
 20230920   22:06:47      0  15607     21     95      5      0      0 
 20230920   22:06:52      0  15777     21    100      5      0      0 
 20230920   22:06:57      0  15777     21    100      7      0      0 
 20230920   22:07:02      0  15777     21    100      5      0      0 
 20230920   22:07:07      0  15653     21    100      6      0      0 
 20230920   22:07:12      0  15777     21    100      5      0      0 
 20230920   22:07:17      0  15759     21    100      5      0      0 
 20230920   22:07:22      0  15777     21    100      5      0      0 
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20230920   22:07:27      0  15777     21    100      5      0      0 
 20230920   22:07:32      0  15517     21    100      5      0      0 
 20230920   22:07:37      0  15573     21     99      5      0      0 
 20230920   22:07:42      0  15777     21    100      5      0      0 
 20230920   22:07:47      0  15687     21    100      7      0      0 
 20230920   22:07:52      0  15777     21     91      6      0      0 
 20230920   22:07:57      0  15777     21    100      5      0      0 
 20230920   22:08:02      0  15365     21    100      7      0      0 
 20230920   22:08:07      0  15777     21     99      5      0      0 
 20230920   22:08:12      0  15777     21    100      5      0      0 
 20230920   22:08:17      0  15777     21    100      6      0      0 
 20230920   22:08:22      0  15777     21    100      5      0      0 
 20230920   22:08:27      0  15777     21     73      5      0      0 
 20230920   22:08:32      0  15579     21    100      5      0      0 
 20230920   22:08:37      0  15777     21    100      5      0      0 
 20230920   22:08:42      0  15777     21    100      5      0      0 
 20230920   22:08:47      0  15759     21    100      5      0      0 
 20230920   22:08:52      0  15777     21    100      6      0      0 
 20230920   22:08:57      0  15777     21     78      5      0      0 
 20230920   22:09:02      0  15777     21    100      6      0      0 
 20230920   22:09:07      0  15777     21    100      5      0      0 
 20230920   22:09:12      0  15777     21    100      5      0      0 
 20230920   22:09:17      0  15483     21     99      4      0      0 
 20230920   22:09:22      0  15777     21    100      5      0      0 
 20230920   22:09:28      0  15777     21    100      5      0      0 
 20230920   22:09:33      0  15777     21    100      4      0      0 
